Toronto;43;-80;1
Montreal;45;-74;2
Vancouver;49;-124;3
Calgary;51;-115;4
Edmonton;53;-114;5
Ottawa;45;-76;6
Mississauga;43;-80;7
Winnipeg;49;-98;8
Quebec City;46;-72;9
Hamilton;43;-80;10
Brampton;43;-80;11
Surrey;49;-123;12
Kitchener;43;-81;13
Laval;45;-74;14
Halifax;44;-64;15
London;42;-82;16
Victoria;48;-124;17
Markham;43;-80;18
St. Catharines;43;-80;19
Niagara Falls;43;-80;20
Vaughan;43;-80;21
Gatineau;45;-76;22
Windsor;42;-83;23
Saskatoon;52;-107;24
Longueuil;45;-74;25
Burnaby;49;-123;26
Regina;50;-105;27
Richmond;49;-124;28
Richmond Hill;43;-80;29
Oakville;43;-80;30
Burlington;43;-80;31
Barrie;44;-80;32
Oshawa;43;-79;33
Sherbrooke;45;-72;34
Saguenay;48;-72;35
Levis;46;-72;36
Kelowna;49;-120;37
Abbotsford;49;-123;38
Coquitlam;49;-123;39
Trois-Rivieres;46;-73;40
Guelph;43;-81;41
Cambridge;43;-81;42
Whitby;43;-79;43
Ajax;43;-80;44
Langley;49;-123;45
Saanich;48;-124;46
Terrebonne;45;-74;47
Milton;43;-80;48
St. John's;47;-53;49
Moncton;46;-65;50
Thunder Bay;48;-90;51
Dieppe;46;-65;52
Waterloo;43;-81;53
Delta;49;-124;54
Chatham;42;-83;55
Red Deer;52;-114;56
Kamloops;50;-121;57
Brantford;43;-81;58
Cape Breton;46;-61;59
Lethbridge;49;-113;60
Saint-Jean-sur-Richelieu;45;-74;61
Clarington;43;-79;62
Pickering;43;-80;63
Nanaimo;49;-124;64
Sudbury;46;-82;65
North Vancouver;49;-124;66
Brossard;45;-74;67
Repentigny;45;-74;68
Newmarket;44;-80;69
Chilliwack;49;-122;70
White Rock;49;-123;71
Maple Ridge;49;-123;72
Peterborough;44;-79;73
Kawartha Lakes;44;-79;74
Prince George;53;-123;75
Sault Ste. Marie;46;-85;76
Sarnia;42;-83;77
Wood Buffalo;57;-112;78
New Westminster;49;-123;79
Chateauguay;45;-74;80
Saint-Jerome;45;-74;81
Drummondville;45;-73;82
Saint John;45;-67;83
Caledon;43;-80;84
St. Albert;53;-114;85
Granby;45;-73;86
Medicine Hat;50;-111;87
Grande Prairie;55;-119;88
St. Thomas;42;-82;89
Airdrie;51;-115;90
Halton Hills;43;-80;91
Saint-Hyacinthe;45;-73;92
Lac-Brome;45;-73;93
Port Coquitlam;49;-123;94
Fredericton;45;-67;95
Blainville;45;-74;96
Aurora;44;-80;97
Welland;42;-80;98
North Bay;46;-80;99
Beloeil;45;-74;100
Belleville;44;-78;101
Mirabel;45;-75;102
Shawinigan;46;-73;103
Dollard-des-Ormeaux;45;-74;104
Brandon;49;-100;105
Rimouski;48;-69;106
Cornwall;45;-75;107
